from,to,"ver[el[, 1], ]","ver2[el[, 2], ]"
2,3,jfm,dng
4,5,7kky,xu8
1,7,bx,yup0
2,7,jfm,yup0
3,7,dng,yup0
3,9,dng,9j
5,9,xu8,9j
3,10,dng,3vx
4,10,7kky,3vx
1,11,bx,70
5,11,xu8,70
6,11,Hgc7m,70
7,11,yup0,70
8,11,ne,70
2,12,jfm,6t
9,12,9j,6t
1,13,bx,0R8ng
11,13,70,0R8ng
6,14,Hgc7m,qvx
7,14,yup0,qvx
10,14,3vx,qvx
1,15,bx,dy
2,15,jfm,dy
6,15,Hgc7m,dy
7,15,yup0,dy
10,15,3vx,dy
12,15,6t,dy
1,16,bx,60
2,16,jfm,60
3,16,dng,60
13,16,0R8ng,60
14,16,qvx,60
15,16,dy,60
9,17,9j,0hXy
10,17,3vx,0hXy
4,18,7kky,d05
8,18,ne,d05
10,18,3vx,d05
17,18,0hXy,d05
3,19,dng,0d
4,19,7kky,0d
6,19,Hgc7m,0d
9,19,9j,0d
13,19,0R8ng,0d
15,19,dy,0d
4,20,7kky,wc
12,20,6t,wc
17,20,0hXy,wc
19,20,0d,wc
2,21,jfm,hhXy
9,21,9j,hhXy
10,21,3vx,hhXy
13,21,0R8ng,hhXy
16,21,60,hhXy
19,21,0d,hhXy
20,21,wc,hhXy
2,22,jfm,ygj
3,22,dng,ygj
7,22,yup0,ygj
8,22,ne,ygj
10,22,3vx,ygj
14,22,qvx,ygj
19,22,0d,ygj
3,23,dng,t6p
4,23,7kky,t6p
5,23,xu8,t6p
14,23,qvx,t6p
16,23,60,t6p
22,23,ygj,t6p
14,24,qvx,b05
17,24,0hXy,b05
20,24,wc,b05
21,24,hhXy,b05
22,24,ygj,b05
6,25,Hgc7m,cr
12,25,6t,cr
13,25,0R8ng,cr
19,25,0d,cr
20,25,wc,cr
22,25,ygj,cr
1,26,bx,05b
17,26,0hXy,05b
20,26,wc,05b
